src dst time
11 39 0
48 54 2635
69 60 4249
69 60 13362
33 84 16943
33 84 17283
33 84 18423
54 48 18442
54 48 18459
57 24 18846
57 26 18846
57 65 18846
48 54 20429
22 54 20508
57 26 22407
48 22 22792
54 48 22820
57 26 22937
4 38 24198
25 71 25129
69 30 26781
83 56 26988
60 16 28306
60 22 28306
57 24 29413
57 26 29413
57 65 29413
16 60 29929
16 22 29929
24 57 30142
22 54 31530
29 60 31931
57 26 31969
57 26 33378
69 66 35509
69 21 35509
69 30 35509
69 60 36272
65 54 68947
39 54 92562
39 64 92968
14 77 97258
61 56 98702
33 84 100886
38 4 101099
33 84 101266
54 65 102236
70 80 102737
66 4 106544
85 64 110945
24 54 112161
65 24 115393
69 60 115967
48 24 118759
60 21 127703
0 89 177248
54 67 181093
38 4 186611
14 77 187754
57 24 190698
57 26 190698
57 65 190698
57 35 190698
57 24 190960
57 26 190960
57 65 190960
23 60 191335
23 7 191335
23 59 191335
23 62 191335
23 5 191335
23 66 191335
23 21 191335
23 44 191335
23 81 191335
23 69 191335
23 30 191335
23 88 191335
24 65 191337
49 60 191360
69 60 192103
25 49 195694
65 35 195787
54 24 197408
54 16 198018
16 35 199476
87 56 201101
87 56 201948
54 16 202648
25 14 205462
14 25 207076
49 25 209770
24 65 210924
23 59 212536
23 62 212536
23 66 212536
23 69 212536
23 58 212536
66 4 212898
60 7 216287
60 69 216287
60 15 216287
54 48 267362
87 56 268377
85 25 268508
85 64 268508
85 1 268508
85 19 268508
85 35 268508
33 84 268897
33 3 268897
25 85 270278
48 54 273105
85 39 273277
85 39 273287
87 56 274651
48 25 282967
64 1 283896
64 19 283950
87 56 284018
19 64 286652
19 1 286652
19 64 286696
19 1 286696
54 49 289730
38 53 290078
38 4 290256
33 84 290424
33 3 290424
77 14 291241
87 56 294839
83 80 296102
83 82 298933
1 83 350813
88 60 353669
88 15 353669
1 64 353801
88 60 353862
88 15 353862
48 51 360808
55 80 361591
43 56 362538
43 67 362538
43 49 362538
43 55 362538
43 50 362538
43 80 362538
70 19 364015
54 16 364536
55 43 365123
80 25 367528
80 83 367694
12 55 368300
29 49 371780
49 43 377779
57 7 377978
57 24 377978
57 26 377978
57 65 377978
57 35 377978
57 80 377978
69 81 379254
35 88 385860
84 33 386499
84 54 387829
83 1 473523
88 15 566609
33 84 612748
50 43 614225
24 65 626142
16 61 629071
61 35 631578
48 54 634687
48 67 635080
83 25 637170
56 87 637468
25 83 640565
48 54 695857
48 24 695857
49 43 698337
48 67 707397
48 54 707397
87 56 707620
48 24 707635
24 48 710616
87 56 710647
87 56 712369
9 43 714643
69 23 715158
69 66 715158
69 21 715158
69 35 715158
69 30 715158
43 9 715412
49 67 718889
35 69 720095
87 84 722186
87 23 722186
87 46 722186
87 33 722186
49 43 723375
69 35 723708
49 43 723947
57 24 724697
67 49 733609
70 80 785628
70 80 785885
49 29 786164
70 80 786411
25 1 787273
35 83 787404
33 84 788612
55 80 792372
64 1 792967
54 65 793528
61 29 794282
80 55 795113
57 24 796843
57 26 796843
57 65 796843
57 35 796843
65 54 797605
87 1 801061
67 48 806123
83 1 806821
48 78 809185
29 60 809511
69 60 810121
38 69 810615
80 69 810774
80 70 812551
57 24 814007
57 26 814007
57 65 814007
24 57 814656
57 24 823281
57 26 823281
57 65 823281
57 35 823281
57 26 825845
14 25 871531
14 25 872714
14 35 872714
43 69 872934
69 23 875483
69 66 875483
69 21 875483
69 30 875483
49 43 876423
19 25 881192
19 64 881192
19 85 881192
19 1 881192
19 35 881192
43 49 882143
35 19 882527
55 69 883692
48 12 883852
19 35 883999
70 19 884725
16 49 885223
49 16 885637
83 56 887875
85 46 894080
48 54 896091
49 16 896966
83 64 898450
83 1 898450
83 19 898450
83 87 898450
83 1 898452
85 65 901458
16 49 901708
49 16 903301
57 24 909013
88 25 987860
54 48 1125221
1 64 1131797
77 61 1132637
60 14 1134666
88 60 1136545
14 60 1137083
61 57 1137200
57 61 1137290
60 88 1137323
48 24 1137457
43 56 1137727
43 67 1137727
43 49 1137727
43 55 1137727
43 50 1137727
43 80 1137727
54 61 1137917
48 24 1138231
4 66 1138386
83 56 1138758
83 1 1143090
49 43 1144279
25 35 1145660
77 61 1145779
57 24 1159558
83 87 1162137
54 16 1213000
85 31 1213519
87 56 1215555
25 16 1220893
60 16 1221262
54 65 1224815
43 9 1226134
54 16 1229350
85 46 1233201
65 24 1237701
65 50 1237701
77 61 1238129
60 54 1242059
49 43 1243644
83 87 1244032
57 24 1244951
57 26 1244951
57 65 1244951
57 35 1244951
58 84 1245595
58 23 1245595
58 11 1245595
58 66 1245739
55 25 1246736
60 88 1247646
83 25 1248248
60 88 1248592
60 88 1248653
4 66 1249975
80 12 1255027
25 83 1259054
58 39 1260190
58 85 1260190
52 62 1301975
38 4 1308239
48 54 1308775
38 4 1309751
16 32 1315732
16 4 1315732
16 15 1315732
67 49 1316343
49 32 1316436
49 67 1316436
49 54 1316436
49 52 1316436
49 48 1316436
43 56 1324206
43 67 1324206
43 55 1324206
43 50 1324206
70 19 1325757
61 56 1326627
67 43 1327100
80 43 1328112
25 19 1331495
32 80 1331851
46 85 1332878
80 55 1336697
55 80 1343943
4 16 1347918
87 83 1386631
48 54 1387159
